"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
63712,1,6,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",107,"1",182.6999969,4573777,11640182.2024928
116947,1,7,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Long Rect or Irreg",14,NA,175.3999939,10040121,20512503.0866233
51976,1,6,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",108,"34",156.8000031,4189569.25,8149836.9611256
56617,1,4,"AVERAGE/GOOD","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",100,"15",80.80000305,1986611.375,4574653.77268185
56745,1,6,"AVERAGE","WOOD FRAME","ELECTRIC","Very Irreg",8,"54",133.8999939,2473962.5,7598155.1538555
67920,1,4,"GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",14,NA,193.3999939,2772124.75,13135727.585688
117950,1,6,"AVERAGE","MASONRY","HEAT PUMP","Long Rect or Irreg",15,"55",83.69999695,3187950.75,9872414.6402525
358176,1,26,"AVERAGE","STRUCTURAL STEEL","ELECTRIC","Rect or Slight Irreg",28,"85",95.40000153,8393893,34169990.9480093
99470,1,13,"LOW COST","REINFORCED CONCRETE","ELECTRIC","Rect or Slight Irreg",88,NA,168.8000031,6136327.5,16790536.308357
47658,1,3,"GOOD","REINFORCED CONCRETE","FORCED AIR UNIT","Very Irreg",12,"53",77,1167967.125,3669666
93079,1,3,"GOOD","WOOD FRAME","ELECTRIC WALL","Very Irreg",17,"32",63.09999847,1997181.5,5873284.75758913
24059,1,3,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Very Irreg",55,"65",90.80000305,695955.8125,2184557.27337995
76285,1,4,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",29,"68",90.40000153,1742351.25,6896164.11671605
46873,1,3,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",27,"90",90.69999695,864004.625,4251380.95703735
62900,5,2,"AVERAGE/GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",52,"100",49.5,1552051.25,3113550
27160,1,3,"AVERAGE","WOOD FRAME","ELECTRIC","Very Irreg",19,NA,92.30000305,681354.1875,2506868.082838
152693,1,6,"GOOD","REINFORCED CONCRETE","FORCED AIR UNIT","Long Rect or Irreg",17,"100",57.20000076,4934559,8734039.71604668
26211,1,2,"AVERAGE/GOOD","WOOD FRAME","HOT WATER","Rect or Slight Irreg",58,"68",80.09999847,1422814.375,2099501.05989717
28260,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",103,NA,184.8000031,2213115.5,5222448.087606
321945,1,11,"AVERAGE/GOOD","STRUCTURAL STEEL","WARMED AND COOLED AIR","Rect or Slight Irreg",107,"31",107.0999985,6856153.5,34480309.0170825
86955,1,6,"GOOD","WOOD FRAME","ELECTRIC","Rect or Slight Irreg",14,"90",71.90000153,2822377.25,6252064.63304115
286408,1,11,"GOOD","WOOD FRAME","ELECTRIC","Very Irreg",14,"78",101.5999985,6310254,29099052.370388
66849,1,7,"GOOD","WOOD FRAME","ELECTRIC WALL","Long Rect or Irreg",15,NA,89.19999695,1898210.25,5962930.59611055
26815,1,4,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Long Rect or Irreg",15,NA,93,861007.8125,2493795
148474,1,8,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC","Very Irreg",26,"64",124.8000031,3936546.75,18529555.6602694
32235,1,3,"AVERAGE/GOOD","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",27,"72",85.09999847,596155.625,2743198.45068045
120405,1,13,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",13,NA,90.80000305,3366510,10932774.3672353
169149,1,6,"GOOD","WOOD FRAME","FORCED AIR UNIT","Long Rect or Irreg",13,"84",88.30000305,4606967.5,14935857.2159045
50141,1,14,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",89,"82",140.8000031,3077371,7059852.9554371
140049,1,6,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Rect or Slight Irreg",24,NA,83.40000153,3986982.75,11680086.814275
58954,1,5,"AVERAGE","MASONRY","HOT WATER","Long Rect or Irreg",92,"85",68.59999847,2569106.5,4044244.30980038
37992,1,5,"AVERAGE","MASONRY","HOT WATER","Long Rect or Irreg",101,"98",66.40000153,1128311.125,2522668.85812776
62876,1,5,"AVERAGE/GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",14,NA,58.59999847,967432.8125,3684533.50379972
40562,1,4,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Approx Square",11,NA,81.59999847,1256575.875,3309859.13794014
40489,1,5,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",107,"98",62.5,1603017.5,2530562.5
34800,1,3,"AVERAGE","MASONRY","ELECTRIC WALL","Rect or Slight Irreg",92,"55",96.40000153,874707,3354720.053244
28058,1,3,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",89,NA,72.90000153,753721.125,2045428.24292874
106066,1,13,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Very Irreg",14,"61",85.19999695,4988493.5,9036822.8764987
86560,1,9,"AVERAGE","REINFORCED CONCRETE","ELECTRIC WALL","Rect or Slight Irreg",92,"53",157.8000031,3229864.5,13659168.268336
91600,1,13,"AVERAGE","REINFORCED CONCRETE","WARMED AND COOLED AIR","Long Rect or Irreg",39,"18",166.6999969,4206839.5,15269719.71604
142063,1,6,"GOOD","WOOD FRAME","ELECTRIC","Very Irreg",16,"74",117.5,2807792.75,16692402.5
188717,1,8,"AVERAGE","WOOD FRAME","ELECTRIC WALL","Very Irreg",25,"85",90.09999847,4192895,17003401.411263
33400,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",93,"82",85.09999847,1713381.75,2842339.948898
