"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
58320,1,2,"AVERAGE","REINFORCED CONCRETE","SPACE HEATERS","Rect or Slight Irreg",88,96,25.79999924,1049748.625,1504655.9556768
530039,1,1,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",66,98,118.9000015,27717034,63021637.8950585
124342,1,4,"GOOD","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",52,76,223.6999969,8765978,27815305.0145398
64984,1,1,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",51,72,130.6999969,2944296.25,8493408.5985496
67745,1,1,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",52,37,223.8999939,9230223,15168105.0867555
693450,1,10,"GOOD","REINFORCED CONCRETE","WARMED AND COOLED AIR","Rect or Slight Irreg",92,93,173.6999969,40062888,120452262.850305
89200,1,2,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",39,83,204.8999939,6461937,18277079.45588
60880,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",61,54,518.7999878,14293972,31584543.257264
291940,1,2,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",37,80,113.1999969,11688601,33047607.094986
79957,1,4,"AVERAGE","REINFORCED CONCRETE","HEAT PUMP","Rect or Slight Irreg",103,25,252.1000061,5252131,20157160.1877377
158415,1,1,"AVERAGE","STRUCTURAL STEEL","SPACE HEATERS","Long Rect or Irreg",12,25,358.6000061,22394416,56807619.9663315
164437,1,1,"AVERAGE/GOOD","MASONRY","COMPLETE HVAC","Rect or Slight Irreg",18,62,276,18390344,45384612
308965,1,2,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",22,78,310.2000122,14512786,95840946.769373
63225,1,1,"AVERAGE","MASONRY","COMPLETE HVAC","Long Rect or Irreg",9,100,323.8999939,6522551.5,20478577.1143275
131387,1,1,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",20,72,234.5,8773058,30810251.5
114000,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",50,79,302,17225444,34428000
50083,1,1,"AVERAGE","MASONRY","HEAT PUMP","Rect or Slight Irreg",20,78,454.2000122,8663691,22747699.2110126
50200,1,1,"AVERAGE","MASONRY","SPACE HEATERS","Rect or Slight Irreg",51,NA,43,1047461,2158600
58184,1,1,"GOOD","REINFORCED CONCRETE","COMPLETE HVAC","Rect or Slight Irreg",14,41,620.2000122,14715262,36085717.5098448
58480,1,1,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",37,37,581.9000244,11054535,34029513.426912
