"GFA","NumBldgs","NumFlors","BuildQlty","ConClass","HeatSys","Shape","Age","ENERGYSTARScore","SourceEUI","SiteEnergy","SourceEnergy"
56772,1,2,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",65,46,81,2439484.75,4598532
103000,1,3,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",65,42,96.90000153,4854429.5,9980700.15759
22220,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",60,90,56.40000153,778355.8125,1253208.0339966
21022,1,2,"GOOD","MASONRY","STEAM","Rect or Slight Irreg",95,54,60.90000153,945245.625,1280239.83216366
33589,1,2,"AVERAGE/GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",103,90,22.89999962,509836.1875,769188.08723618
20920,1,2,"AVERAGE","REINFORCED CONCRETE","HOT WATER","Rect or Slight Irreg",69,15,80.80000305,1042108.5,1690336.063806
22128,1,2,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",91,94,43.29999924,608359.6875,958142.38318272
21364,1,2,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",68,86,63.29999924,965651.125,1352341.18376336
45991,1,2,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",89,77,50.20000076,1145535.75,2308748.23495316
23931,1,2,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",107,88,36.40000153,496477.3125,871088.43661443
21393,1,2,"GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",69,57,67.5,845961.375,1444027.5
26366,1,1,"AVERAGE/GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",45,88,61,888031.875,1608326
21732,1,2,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",52,2,87.69999695,860364.1875,1905896.3337174
47992,1,2,"AVERAGE","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",91,17,107.1999969,3040195.5,5144742.2512248
31386,1,2,"GOOD","WOOD FRAME","PACKAGE UNIT","Rect or Slight Irreg",17,52,89,1128179.125,2793354
37816,1,2,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",94,60,76.30000305,1411305.5,2885360.9153388
22612,1,2,"GOOD","WOOD FRAME","HOT WATER","Rect or Slight Irreg",70,87,48.5,731321.8125,1096682
24227,1,2,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",54,55,61,1086678.125,1477847
25521,1,2,"GOOD","MASONRY","STEAM","Rect or Slight Irreg",87,82,54.5,605186.3125,1390894.5
27876,1,2,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",63,69,71.40000153,1829981.375,1990346.44265028
62000,1,3,"AVERAGE/GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",68,81,40,1799664.125,2480000
26033,1,1,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",68,78,63.79999924,1149140.25,1660905.38021492
75058,1,3,"EXCELLENT","MASONRY","STEAM","Rect or Slight Irreg",49,24,107.5999985,5587347,8076240.687413
37796,1,3,"AVERAGE","STRUCTURAL STEEL","ELECTRIC WALL","Rect or Slight Irreg",55,55,87.69999695,2465983.5,3314709.0847222
23241,1,3,"GOOD","STRUCTURAL STEEL","COMPLETE HVAC","Very Irreg",8,66,69.69999695,739210.5,1619897.62911495
27338,1,1,"AVERAGE","REINFORCED CONCRETE","FORCED AIR UNIT","Rect or Slight Irreg",57,56,66.80000305,581289,1826178.4833809
21948,1,99,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",40,80,46.59999847,326001.1875,1022776.76641956
22688,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",95,87,36.40000153,331675,825843.23471264
45680,1,3,"AVERAGE","MASONRY","STEAM","Rect or Slight Irreg",109,79,71,2077039.375,3243280
22047,1,1,"AVERAGE/GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",55,100,36.40000153,265774.9063,802510.83373191
21765,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",107,80,32.29999924,431390.4063,703009.4834586
26560,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",116,1,117.1999969,1751483.875,3112831.917664
40445,1,1,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",42,92,34.40000153,786253.6875,1391308.06188085
44719,1,2,"GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",52,NA,66.09999847,1614026.25,2955925.83157993
24224,1,2,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",60,52,88.09999847,968026.3125,2134134.36293728
23706,1,1,"GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",54,78,33.29999924,400770.9063,789409.78198344
30740,1,3,"AVERAGE","WOOD FRAME","COMPLETE HVAC","Rect or Slight Irreg",65,NA,76.40000153,1686262.25,2348536.0470322
35844,1,1,"GOOD","WOOD FRAME","FORCED AIR UNIT","Very Irreg",40,14,75.90000153,866126.375,2720559.65484132
22895,1,3,"GOOD","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",36,96,40.90000153,440419.1875,936405.53502935
35864,1,2,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",69,75,63.20000076,1228113.5,2266604.82725664
20484,1,1,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",63,69,53.90000153,822636.625,1104087.63134052
20385,1,2,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",67,65,61.59999847,809291.8125,1255715.96881095
24295,1,1,"GOOD","MASONRY","FORCED AIR UNIT","Rect or Slight Irreg",71,53,27.89999962,216115,677830.4907679
20140,1,1,"AVERAGE/GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",52,35,59,992794.6875,1188260
24120,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",89,66,68.69999695,893053.1875,1657043.926434
35736,1,3,"GOOD","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",88,88,46.20000076,1148202.25,1651003.22715936
21936,1,2,"AVERAGE/GOOD","WOOD FRAME","STEAM","Rect or Slight Irreg",66,96,36.5,608755.375,800664
26440,1,1,"AVERAGE","WOOD FRAME","SPACE HEATERS","Rect or Slight Irreg",111,91,46.20000076,719905.1875,1221528.0200944
21850,1,1,"AVERAGE/GOOD","MASONRY","STEAM","Rect or Slight Irreg",117,100,23.10000038,317794.4063,504735.008303
24600,1,2,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",107,69,36.09999847,331059.5,888059.962362
48850,1,1,"GOOD","MASONRY","HOT WATER","Rect or Slight Irreg",117,NA,47.40000153,1063480.5,2315490.0747405
21562,1,2,"GOOD","STRUCTURAL STEEL","ELECTRIC","Rect or Slight Irreg",61,20,60.90000153,866806,1313125.83298986
24200,1,1,"LOW COST","MASONRY","HEAT PUMP","Rect or Slight Irreg",49,73,76.09999847,826488.6875,1841619.962974
78401,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",90,NA,58,2462408.25,4547258
41013,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",90,NA,59.29999924,1080821,2432070.86883012
46485,1,3,"AVERAGE","REINFORCED CONCRETE","SPACE HEATERS","Rect or Slight Irreg",67,83,50.20000076,1544995.75,2333547.0353286
27500,1,2,"AVERAGE/GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",39,60,48.20000076,577123.125,1325500.0209
21624,1,1,"AVERAGE/GOOD","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",63,90,62.59999847,666687.5,1353662.36691528
20039,1,2,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",63,100,16.39999962,104722.2969,328639.59238518
22952,1,2,"AVERAGE/GOOD","WOOD FRAME","HEAT PUMP","Rect or Slight Irreg",54,98,32.79999924,470666.6875,752825.58255648
26373,1,3,"AVERAGE","MASONRY","HOT WATER","Rect or Slight Irreg",79,75,60.79999924,964236,1603478.37995652
24955,1,1,"GOOD","MASONRY","COMPLETE HVAC","Very Irreg",15,47,55.79999924,689803,1392488.9810342
76475,1,2,"AVERAGE","MASONRY","WARMED AND COOLED AIR","Rect or Slight Irreg",56,NA,39.90000153,1765813.625,3051352.61700675
37700,1,1,"GOOD/EXCELLENT","REINFORCED CONCRETE","STEAM","Rect or Slight Irreg",88,38,100.0999985,3481727.5,3773769.94345
31805,1,2,"AVERAGE","WOOD FRAME","HOT WATER","Rect or Slight Irreg",64,10,81,1641667,2576205
29079,1,1,"AVERAGE","WOOD FRAME","FORCED AIR UNIT","Rect or Slight Irreg",62,78,67.80000305,861643.6875,1971556.28869095
70292,1,2,"AVERAGE","MASONRY","PACKAGE UNIT","Rect or Slight Irreg",9,37,58,1933811.625,4076936
