"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",68,28,28,0.441,0.063,1547.541,39.339,28.543,0.218
"R21","C1",1,"Reg","SourceEnergy",68,28,28,0.976,0.961,30987981374916.3,5566684.954,4110997.125,0.3
"1","C2",2,"Reg","SourceEUI",68,68,303,1,NA,0,0,0,0
"2","C2",2,"Reg","SourceEnergy",68,68,303,1,NA,0,0,0,0
"3","C2",3,"Reg","SourceEUI",68,68,1702,1,NA,0,0,0,0
"4","C2",3,"Reg","SourceEnergy",68,68,1702,1,NA,0,0,0,0
"5","C2",4,"Reg","SourceEUI",68,68,5647,1,NA,0,0,0,0
"6","C2",4,"Reg","SourceEnergy",68,68,5647,1,NA,0,0,0,0
"7","C2",5,"Reg","SourceEUI",68,68,12048,1,NA,0,0,0,0
"8","C2",5,"Reg","SourceEnergy",68,68,12048,1,NA,0,0,0,0
"R22","C3a",1,"rpart","SourceEUI",68,0,0,0,0.015,2765.958,52.592,41.823,0.317
"R211","C3a",1,"rpart","SourceEnergy",68,7,7,0.649,0.614,462123309324670,21497053.503,8747051.133,0.347
"R23","C3b",1,"xgboost_default","SourceEUI",68,9,9,0.444,0.369,1160.408,34.065,25.511,0.187
"R212","E3b",1,"xgboost_default","SourceEnergy",68,8,8,0.98,0.978,24131848345890.8,4912417.77,3577322.382,0.318
"R24","C3b",1,"xgboost_random","SourceEUI",68,8,8,0.252,0.164,1764.524,42.006,29.995,0.225
"R213","E3b",1,"xgboost_random","SourceEnergy",68,19,19,0.932,0.907,82406800791726.5,9077819.165,5619953.618,0.434
