"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",118,27,27,0.366,0.185,280.884,16.76,12.989,0.157
"R21","C1",1,"Reg","SourceEnergy",118,27,27,0.928,0.907,2395437606268.75,1547720.132,992790.922,0.177
"1","C2",2,"Reg","SourceEUI",118,83,272,0.826,0.418,77.192,8.786,4.433,0.055
"2","C2",2,"Reg","SourceEnergy",118,83,272,0.969,0.896,1029731866569.43,1014757.048,362916.26,0.061
"3","C2",3,"Reg","SourceEUI",118,95,1414,0.891,0.447,48.174,6.941,2.879,0.036
"4","C2",3,"Reg","SourceEnergy",118,95,1414,0.981,0.902,637954970032.998,798720.834,282433.403,0.048
"5","C2",4,"Reg","SourceEUI",118,96,4377,0.905,0.495,42.043,6.484,2.631,0.033
"6","C2",4,"Reg","SourceEnergy",118,96,4377,0.992,0.96,250585863376.626,500585.521,193868.891,0.042
"7","C2",5,"Reg","SourceEUI",118,96,8855,0.905,0.495,42.043,6.484,2.631,0.033
"8","C2",5,"Reg","SourceEnergy",118,96,8855,0.992,0.96,250585863376.626,500585.521,193868.891,0.042
"R22","C3a",1,"rpart","SourceEUI",118,5,5,0.27,0.245,323.312,17.981,12.977,0.168
"R211","C3a",1,"rpart","SourceEnergy",118,7,7,0.908,0.903,3063115925631.57,1750175.97,984642.729,0.152
"R23","C3b",1,"xgboost_default","SourceEUI",118,8,8,0.502,0.47,179.659,13.404,10.049,0.126
"R212","E3b",1,"xgboost_default","SourceEnergy",118,18,18,0.982,0.979,579022868753.762,760935.522,584036.214,0.135
"R24","C3b",1,"xgboost_random","SourceEUI",118,14,14,0.719,0.684,103.168,10.157,7.68,0.094
"R213","E3b",1,"xgboost_random","SourceEnergy",118,19,19,0.997,0.996,108854575925.568,329931.168,259692.612,0.061
