"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",419,30,31,0.15,0.087,7278.317,85.313,57.503,0.389
"R21","C1",1,"Reg","SourceEnergy",419,30,31,0.801,0.786,193915378371590,13925350.206,7212752.429,0.504
"1","C2",2,"Reg","SourceEUI",419,169,354,0.512,0.184,4179.099,64.646,42.001,0.295
"2","C2",2,"Reg","SourceEnergy",419,169,354,0.912,0.852,86248763498069.2,9287021.239,5042924.762,0.38
"3","C2",3,"Reg","SourceEUI",419,298,2050,0.857,0.508,1220.868,34.941,20.394,0.148
"4","C2",3,"Reg","SourceEnergy",419,298,2050,0.978,0.923,21693229122254.3,4657599.073,2085596.755,0.176
"5","C2",4,"Reg","SourceEUI",419,340,6925,0.931,0.633,594.064,24.373,11.557,0.089
"6","C2",4,"Reg","SourceEnergy",419,340,6925,0.991,0.952,8857413257005.37,2976140.665,1071011.77,0.102
"7","C2",5,"Reg","SourceEUI",419,344,14931,0.934,0.633,563.401,23.736,11.044,0.085
"8","C2",5,"Reg","SourceEnergy",419,344,14931,0.991,0.95,8674660212576.79,2945277.612,1028434.515,0.101
"R22","C3a",1,"rpart","SourceEUI",419,5,5,0.061,0.052,8046.952,89.705,59.472,0.416
"R211","C3a",1,"rpart","SourceEnergy",419,7,7,0.783,0.779,212201462448134,14567136.385,8293419.267,0.715
"R23","C3b",1,"xgboost_default","SourceEUI",419,12,12,0.122,0.098,6928.115,83.235,54.458,0.375
"R212","E3b",1,"xgboost_default","SourceEnergy",419,9,9,0.838,0.835,151201818067849,12296414.846,6553461.153,0.468
"R24","C3b",1,"xgboost_random","SourceEUI",419,29,29,0.461,0.422,3234.24,56.87,41.016,0.279
"R213","E3b",1,"xgboost_random","SourceEnergy",419,33,33,1,1,363076862899.765,602558.597,437274.158,0.066
