"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",1086,33,33,0.102,0.074,1006.76
"2","C1",1,"Reg","SiteEnergyUse",1086,33,33,0.832,0.826,1545775754939.74
"3","C1a",1,"Reg-Lasso","SourceEUI",1086,2,2,0.003,-0.031,1120.74
"4","C1a",1,"Reg-Ridge","SourceEUI",1086,37,37,0.072,0.04,1118.989
"5","C1a",1,"Reg-ElasticNet","SourceEUI",1086,1,1,NA,NA,1120.74
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",1086,8,8,0.808,0.801,1825213430821.14
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",1086,37,37,0.812,0.805,1912744714861.7
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",1086,13,13,0.821,0.815,1672330779057.62
"9","C2",2,"Reg","SourceEUI",1086,232,400,0.287,-0.13,799.446
"10","C2",2,"Reg","SiteEnergyUse",1086,232,400,0.917,0.868,764017883282.091
"11","C2",3,"Reg","SourceEUI",1086,485,2450,0.472,1.42,591.542
"12","C2",3,"Reg","SiteEnergyUse",1086,485,2450,0.972,1.022,258373059941.984
"13","C2",4,"Reg","SourceEUI",1086,593,8665,0.573,1.061,478.478
"14","C2",4,"Reg","SiteEnergyUse",1086,593,8665,0.981,1.003,176862507589.622
"15","C2",5,"Reg","SourceEUI",1086,614,19301,0.582,1.025,468.273
"16","C2",5,"Reg","SiteEnergyUse",1086,614,19301,0.982,1.001,163293486594.568
"17","C2",6,"Reg","SourceEUI",1086,617,29558,0.586,1.016,464.085
"18","C2",6,"Reg","SiteEnergyUse",1086,617,29558,0.982,1.001,160793001586.571
"19","C2",7,"Reg","SourceEUI",1086,617,34760,0.586,1.013,464.085
"20","C2",7,"Reg","SiteEnergyUse",1086,617,34760,0.982,1.001,160793001586.571
"21","C2",8,"Reg","SourceEUI",1086,617,35840,0.586,1.013,464.085
"22","C2",8,"Reg","SiteEnergyUse",1086,617,35840,0.982,1.001,160793001586.571
"23","C3a",1,"rpart","SourceEUI",1086,8,8,0.039,0.032,1076.617
"24","C3a",1,"rpart","SiteEnergyUse",1086,8,8,0.781,0.779,2013698970433.11
"25","C3b",1,"xgboost","SourceEUI",1086,28,28,0.379,0.358,785.206
"26","E3b",1,"xgboost","SiteEnergyUse",1086,29,29,0.918,0.915,795366227157.707
