"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",105,25,26,0.376,0.168,34950.623
"2","C1",1,"Reg","SiteEnergyUse",105,25,26,0.702,0.603,12097484786399.9
"3","C1a",1,"Reg-Lasso","SourceEUI",105,2,2,0.113,-0.231,55991.062
"4","C1a",1,"Reg-Ridge","SourceEUI",105,29,29,0.237,-0.058,55833.39
"5","C1a",1,"Reg-ElasticNet","SourceEUI",105,7,7,0.165,-0.157,48768.811
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",105,3,3,0.566,0.398,20057280313038.1
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",105,29,29,0.669,0.542,15922633243999.2
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",105,11,11,0.645,0.508,14876632475964.8
"9","C2",2,"Reg","SourceEUI",105,81,259,0.764,1.158,13201.611
"10","C2",2,"Reg","SiteEnergyUse",105,81,259,0.926,1.05,3013645020708.8
"11","C2",3,"Reg","SourceEUI",105,88,1360,0.796,1.017,11420.742
"12","C2",3,"Reg","SiteEnergyUse",105,88,1360,0.939,1.005,2466730791441.35
"13","C2",4,"Reg","SourceEUI",105,88,4295,0.796,1.005,11420.742
"14","C2",4,"Reg","SiteEnergyUse",105,88,4295,0.939,1.002,2466730791441.35
"15","C2",5,"Reg","SourceEUI",105,88,8866,0.796,1.002,11420.742
"16","C2",5,"Reg","SiteEnergyUse",105,88,8866,0.939,1.001,2466730791441.35
"17","C2",6,"Reg","SourceEUI",105,88,12981,0.796,1.002,11420.742
"18","C2",6,"Reg","SiteEnergyUse",105,88,12981,0.939,1,2466730791441.35
"19","C2",7,"Reg","SourceEUI",105,88,14964,0.796,1.001,11420.742
"20","C2",7,"Reg","SiteEnergyUse",105,88,14964,0.939,1,2466730791441.35
"21","C2",8,"Reg","SourceEUI",105,88,15360,0.796,1.001,11420.742
"22","C2",8,"Reg","SiteEnergyUse",105,88,15360,0.939,1,2466730791441.35
"23","C3a",1,"rpart","SourceEUI",105,8,8,0.254,0.192,41747.273
"24","C3a",1,"rpart","SiteEnergyUse",105,8,8,0.522,0.482,19417217126948.6
"25","C3b",1,"xgboost","SourceEUI",105,22,22,0.931,0.904,6751.658
"26","E3b",1,"xgboost","SiteEnergyUse",105,21,21,0.892,0.85,5850145059175.74
