"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse"
"1","C1",1,"Reg","SourceEUI",63,22,23,0.334,-0.059,487.106
"2","C1",1,"Reg","SiteEnergyUse",63,22,23,0.876,0.803,123259548766.019
"3","C1a",1,"Reg-Lasso","SourceEUI",63,2,2,0.039,-0.656,731.306
"4","C1a",1,"Reg-Ridge","SourceEUI",63,26,26,0.281,-0.238,728.866
"5","C1a",1,"Reg-ElasticNet","SourceEUI",63,2,2,NA,NA,731.306
"6","C1a",1,"Reg-Lasso","SiteEnergyUse",63,3,3,0.685,0.458,472515286476.267
"7","C1a",1,"Reg-Ridge","SiteEnergyUse",63,26,26,0.758,0.584,991615727243.674
"8","C1a",1,"Reg-ElasticNet","SiteEnergyUse",63,4,4,0.788,0.635,289262973515.167
"9","C2",2,"Reg","SourceEUI",63,57,205,0.929,1.031,52.23
"10","C2",2,"Reg","SiteEnergyUse",63,57,205,0.99,1.005,10402122189.738
"11","C2",3,"Reg","SourceEUI",63,63,955,1,1,0
"12","C2",3,"Reg","SiteEnergyUse",63,63,955,1,1,0
"13","C2",4,"Reg","SourceEUI",63,63,2675,1,1,0
"14","C2",4,"Reg","SiteEnergyUse",63,63,2675,1,1,0
"15","C2",5,"Reg","SourceEUI",63,63,4981,1,1,0
"16","C2",5,"Reg","SiteEnergyUse",63,63,4981,1,1,0
"17","C2",6,"Reg","SourceEUI",63,63,6783,1,1,0
"18","C2",6,"Reg","SiteEnergyUse",63,63,6783,1,1,0
"19","C2",7,"Reg","SourceEUI",63,63,7545,1,1,0
"20","C2",7,"Reg","SiteEnergyUse",63,63,7545,1,1,0
"21","C2",8,"Reg","SourceEUI",63,63,7680,1,1,0
"22","C2",8,"Reg","SiteEnergyUse",63,63,7680,1,1,0
"23","C3a",1,"rpart","SourceEUI",63,8,8,0.397,0.308,440.83
"24","C3a",1,"rpart","SiteEnergyUse",63,8,8,0.525,0.455,472917589785.971
"25","C3b",1,"xgboost","SourceEUI",63,18,18,0.93,0.88,126.532
"26","E3b",1,"xgboost","SiteEnergyUse",63,17,17,0.968,0.945,64281848165.476
