"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",1086,33,33,0.102,0.074,1006.76,31.729,19.109,0.292
"R21","C1",1,"Reg","SiteEnergyUse",1086,33,33,0.832,0.826,1545775754939.74,1243292.305,693440.411,0.521
"R28","C2",2,"RegInt","SourceEUI",1086,232,400,0.287,0.094,799.446,28.274,16.05,0.243
"R217","C2",2,"RegInt","SiteEnergyUse",1086,232,400,0.917,0.894,764017883282.091,874081.165,490734.659,0.436
"R22","C2",3,"RegInt","SourceEUI",1086,485,2450,0.472,0.047,591.542,24.322,11.42,0.128
"R211","C2",3,"RegInt","SiteEnergyUse",1086,485,2450,0.972,0.949,258373059941.984,508304.102,284285.737,0.195
"R23","C2",4,"RegInt","SourceEUI",1086,593,8665,0.573,0.06,478.478,21.874,9.215,0.103
"R212","C2",4,"RegInt","SiteEnergyUse",1086,593,8665,0.981,0.958,176862507589.622,420550.244,205919.148,0.146
"R24","C2",5,"RegInt","SourceEUI",1086,614,19301,0.582,0.04,468.273,21.64,8.905,0.099
"R213","C2",5,"RegInt","SiteEnergyUse",1086,614,19301,0.982,0.959,163293486594.568,404095.888,197081.364,0.141
"R25","C2",6,"RegInt","SourceEUI",1086,617,29558,0.586,0.042,464.085,21.543,8.77,0.097
"R214","C2",6,"RegInt","SiteEnergyUse",1086,617,29558,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"R26","C2",7,"RegInt","SourceEUI",1086,617,34760,0.586,0.042,464.085,21.543,8.77,0.097
"R215","C2",7,"RegInt","SiteEnergyUse",1086,617,34760,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"R27","C2",8,"RegInt","SourceEUI",1086,617,35840,0.586,0.042,464.085,21.543,8.77,0.097
"R216","C2",8,"RegInt","SiteEnergyUse",1086,617,35840,0.982,0.959,160793001586.571,400990.027,193347.286,0.139
"R29","C3a",1,"rpart","SourceEUI",1086,5,5,0.039,0.036,1076.617,32.812,19.59,0.295
"R218","C3a",1,"rpart","SiteEnergyUse",1086,6,6,0.781,0.78,2013698970433.11,1419048.615,826474.344,0.534
"R210","C3b",1,"xgboost","SourceEUI",1086,28,28,0.137,0.115,785.206,28.022,17.038,0.252
"R219","E3b",1,"xgboost","SiteEnergyUse",1086,29,29,0.902,0.899,795366227157.707,891833.071,522888.346,0.379
