"","exp","interaction","model","dependent","obs","rank","coef","R.2","Adj.R.2","mse","rmse","mae","mape"
"R2","C1",1,"Reg","SourceEUI",63,22,23,0.334,-0.007,487.106,22.07,15.431,0.372
"R21","C1",1,"Reg","SiteEnergyUse",63,22,23,0.876,0.813,123259548766.019,351083.393,267007.512,0.53
"R28","C2",2,"RegInt","SourceEUI",63,57,205,0.929,0.262,52.23,7.227,3.441,0.072
"R217","C2",2,"RegInt","SiteEnergyUse",63,57,205,0.99,0.892,10402122189.738,101990.795,46899.52,0.085
"R22","C2",3,"RegInt","SourceEUI",63,63,955,1,NA,0,0,0,0
"R211","C2",3,"RegInt","SiteEnergyUse",63,63,955,1,NA,0,0,0,0
"R23","C2",4,"RegInt","SourceEUI",63,63,2675,1,NA,0,0,0,0
"R212","C2",4,"RegInt","SiteEnergyUse",63,63,2675,1,NA,0,0,0,0
"R24","C2",5,"RegInt","SourceEUI",63,63,4981,1,NA,0,0,0,0
"R213","C2",5,"RegInt","SiteEnergyUse",63,63,4981,1,NA,0,0,0,0
"R25","C2",6,"RegInt","SourceEUI",63,63,6783,1,NA,0,0,0,0
"R214","C2",6,"RegInt","SiteEnergyUse",63,63,6783,1,NA,0,0,0,0
"R26","C2",7,"RegInt","SourceEUI",63,63,7545,1,NA,0,0,0,0
"R215","C2",7,"RegInt","SiteEnergyUse",63,63,7545,1,NA,0,0,0,0
"R27","C2",8,"RegInt","SourceEUI",63,63,7680,1,NA,0,0,0,0
"R216","C2",8,"RegInt","SiteEnergyUse",63,63,7680,1,NA,0,0,0,0
"R29","C3a",1,"rpart","SourceEUI",63,6,6,0.397,0.344,440.83,20.996,15.735,0.347
"R218","C3a",1,"rpart","SiteEnergyUse",63,6,6,0.525,0.483,472917589785.971,687690.039,441355.83,0.596
"R210","C3b",1,"xgboost","SourceEUI",63,18,18,0.711,0.602,126.532,11.249,7.491,0.151
"R219","E3b",1,"xgboost","SiteEnergyUse",63,17,17,0.91,0.879,64281848165.476,253538.652,165023.032,0.283
